,0
0,54.361696222441154
1,55.212355852304775
2,47.99524737763209
3,44.75486093907595
4,49.11127234478949
5,53.596244820533194
6,46.93049078190511
7,51.049674133233204
8,52.13669485476137
9,54.31262157875692
10,53.06100926936177
11,48.89045244480178
12,52.32919491183351
13,41.295053544045004
14,52.23315174973627
15,48.29276000988576
16,52.34766468001008
17,49.8575959231756
18,49.45244155640327
19,48.56428655463962
20,40.62539921162761
21,52.34289116545361
22,41.20621172261284
23,54.22134504904327
24,46.7906703210541
25,50.70853400780677
26,53.34962327476198
27,52.35928094972003
28,49.24980730347902
29,46.91618481358676
30,55.92448627553217
31,52.823862175340956
32,46.69656171566613
33,54.14205744687144
34,48.2025552625595
35,40.43591281863532
36,52.085282489241926
37,53.190886014498275
38,49.08486321952278
39,45.84397377342983
40,49.396720385302665
41,51.35979239178844
42,53.02651408379175
43,51.44449187611749
44,53.6116968226999
45,54.681636158132214
46,54.475337289736814
47,54.24197229458582
48,39.393362077993984
49,53.07530074880256
50,53.384725246317345
51,53.3424691608834
52,49.949970202739706
53,54.353350146348845
54,52.61515281384129
55,43.07054790230374
56,54.56779493762909
57,47.54374419999453
58,53.973376816880915
59,52.76078901206735
60,52.20665898913441
61,52.39163574154846
62,53.14542517890835
63,49.15890854428974
64,53.98904109229877
65,51.12817347570747
66,47.17541482190968
67,54.36191018494429
68,46.68778953256692
69,52.72287908112957
70,50.5813523031688
71,54.610135230206104
72,51.7678604301354
73,53.5693241309193
74,42.20935755906922
75,52.54851601420997
76,45.795299225912885
77,44.65203689723312
78,50.410185927098034
79,52.11362219284404
80,48.64163112573066
81,42.30551026731656
82,52.55246175438411
83,54.5567101836795
84,49.40860203830044
85,47.37711612989947
86,45.557063235210684
87,51.719787950515055
88,49.23156282147834
89,48.95393574732654
90,52.57329116655609
91,46.0750513912894
92,54.25587179043491
93,40.93656414032958
94,47.86194292889911
95,46.50619378889255
96,41.60773445399063
97,51.2244392428743
98,47.43573036801925
99,41.613929986545045
100,50.446163455653995
101,51.64790755894498
102,52.26725206060384
103,43.25439891592963
104,51.95327379801351
105,51.643485774484034
106,53.98128516096842
107,51.50835234578297
108,48.041092651302755
109,54.26024331457035
110,46.115203222784444
111,53.324616380688084
112,48.11656963635476
113,48.1378868278949
114,46.04056742042974
115,48.15818116734259
116,47.894455150330316
117,52.97259618221102
118,52.70512951942803
119,45.89978295647339
120,45.56696107836133
121,53.70596541105579
122,51.744300114570095
123,49.57491036049508
124,51.256186454010496
125,44.34740823273799
126,46.169768365751985
127,46.84533777279919
128,51.52418306853364
129,49.87452292285802
130,53.33210492589863
131,52.593008358133496
132,49.82407891235226
133,52.68668869813772
134,46.07094179757997
135,54.41305864245526
136,40.87736843645049
137,49.256044233227286
138,54.92304948945036
139,52.62964353969693
140,46.8282138720702
141,53.305473651352116
142,50.712842533315516
143,51.35368256598831
144,42.37826378069175
145,45.89365409201014
146,48.32050458892341
147,47.26941844760583
148,49.571053471525396
149,53.53918700533667
150,53.34131525408902
151,54.10904732190338
152,55.62896755973258
153,53.05849818875021
154,49.272179047991884
155,54.26927299675902
156,47.19303270315406
157,46.28630993310358
158,45.20464870858782
159,48.938012132924115
160,52.65245684273532
161,39.66290543083288
162,52.23718765213528
163,48.22387686854158
164,53.61043520527078
165,52.406086517838865
166,44.91681699251679
167,53.636633001519954
168,51.6531133043169
169,54.48057409887198
170,50.79555394039381
171,46.176042065586365
172,41.59759125301716
173,53.75493002847982
174,52.75119499086695
175,52.09661107000014
176,49.014777850653
177,48.17456418601873
178,44.22063019280304
179,51.549566575858
180,52.477807313528466
181,47.332051298399456
182,54.29969301983226
183,49.796363723007126
184,53.443452590035875
185,47.294734493242956
186,51.32376936038208
187,47.812380864045586
188,51.32266464386243
189,51.29755842720272
190,52.03896068069734
191,50.37411362935626
192,46.25426957787756
193,54.217570969581026
194,45.677468085590455
195,52.98444394833493
196,48.01725522236303
197,46.51483840659675
198,49.33167544979668
199,47.66959287369186
200,48.47141578399362
201,48.64227227479627
202,46.16996745613103
203,46.89456753098595
204,47.032117231292005
205,54.15317054472602
206,48.44295006270098
207,52.68435434837271
208,46.570250951848124
209,53.962984515810724
210,47.60661432081582
211,50.64197275808058
212,53.91630621017126
213,53.67119624551034
214,50.24885405578334
215,39.499978819204664
216,51.840792124791484
217,47.080763870835
218,53.64610079009214
219,54.731959725174676
220,51.72066572130257
221,50.02893050754912
222,51.854214450426035
223,51.41616178456353
224,54.130166447361816
225,48.651805588702935
226,48.44421564344868
227,53.04265161120756
228,53.37394293532103
229,53.22667865037625
230,51.44801021420855
231,45.91010996129006
232,45.95940669981238
233,40.29268655901313
234,51.77146968967653
235,51.84085157612212
236,43.47124478134781
237,53.33592394510508
238,52.591157934757206
239,51.32358536352092
240,45.20465770059812
241,53.20005992332038
242,46.99615666617783
243,54.07607360719096
244,49.0004294890882
245,52.75974356809686
246,48.54914350268118
247,50.81965093035632
248,51.56398764947047
249,52.44994717912232
250,47.77091121912075
251,53.851015805467114
252,45.99321634641901
253,49.36720501677465
254,53.713004333088506
255,44.547312946090074
256,54.38914637680124
257,53.70997612029935
258,47.92500385553803
259,48.54957230541843
260,52.51553177782785
261,53.39593517979548
262,52.12839067383357
263,51.52096196391636
264,53.691666883957254
265,53.46091203253781
266,46.946456631757066
267,52.92059598526141
268,53.30587774747149
269,45.742909340478924
270,53.15215559249554
271,51.606841892480276
272,44.65193044980991
273,45.96160926860186
274,52.24051677413106
275,51.60029508606619
276,45.979104379935045
277,53.90400868957076
278,51.68090058674605
279,51.19622607971793
280,48.483770904440625
281,44.442114176617316
282,42.94832347022816
283,52.18304536676344
284,53.299094459190194
285,54.553568251475184
286,51.65842117858183
287,52.16093128216903
288,49.210463716831654
289,48.78064459501749
290,52.70191698130488
291,50.20479260279349
292,52.53167541994441
293,45.995480449354915
294,45.08635487726515
295,52.70892894609929
296,42.28287265225958
297,47.45684288220009
298,47.13784499231449
299,53.74034693957727
300,53.14903905368373
301,52.011621334167685
302,47.55587826979384
303,45.9417070538853
304,55.30790912319989
305,47.40074759937404
306,40.67315220541165
307,51.37023831898196
308,52.72012617669055
